0	0,00352
1	0,00022
2	0,00015
3	0,00011
4	0,00009
5	0,00008
6	0,00007
7	0,00007
8	0,00007
9	0,00007
10	0,00008
11	0,00008
12	0,00010
13	0,00011
14	0,00013
15	0,00015
16	0,00017
17	0,00018
18	0,00019
19	0,00020
20	0,00021
21	0,00021
22	0,00022
23	0,00022
24	0,00022
25	0,00022
26	0,00023
27	0,00024
28	0,00026
29	0,00028
30	0,00030
31	0,00033
32	0,00037
33	0,00042
34	0,00047
35	0,00052
36	0,00058
37	0,00063
38	0,00069
39	0,00075
40	0,00082
41	0,00091
42	0,00101
43	0,00113
44	0,00125
45	0,00138
46	0,00153
47	0,00169
48	0,00189
49	0,00212
50	0,00240
51	0,00270
52	0,00303
53	0,00338
54	0,00374
55	0,00413
56	0,00456
57	0,00505
58	0,00560
59	0,00622
60	0,00689
61	0,00763
62	0,00842
63	0,00926
64	0,01017
65	0,01116
66	0,01227
67	0,01352
68	0,01492
69	0,01651
70	0,01828
71	0,02023
72	0,02237
73	0,02471
74	0,02727
75	0,03007
76	0,03324
77	0,03687
78	0,04108
79	0,04606
80	0,05198
81	0,05893
82	0,06700
83	0,07626
84	0,08662
85	0,09799
86	0,11032
87	0,12350
88	0,13748
89	0,15229
90	0,16793
91	0,18436
92	0,20154
93	0,21939
94	0,23776
95	0,25652
96	0,27550
97	0,29452
98	0,31343
99	0,33205
100	0,35022
