0	0,00398
1	0,00031
2	0,00021
3	0,00016
4	0,00012
5	0,00010
6	0,00009
7	0,00008
8	0,00008
9	0,00008
10	0,00008
11	0,00008
12	0,00010
13	0,00012
14	0,00015
15	0,00019
16	0,00026
17	0,00035
18	0,00045
19	0,00057
20	0,00068
21	0,00077
22	0,00085
23	0,00091
24	0,00097
25	0,00102
26	0,00106
27	0,00112
28	0,00118
29	0,00125
30	0,00133
31	0,00142
32	0,00152
33	0,00164
34	0,00176
35	0,00189
36	0,00203
37	0,00217
38	0,00233
39	0,00250
40	0,00269
41	0,00291
42	0,00317
43	0,00348
44	0,00382
45	0,00421
46	0,00465
47	0,00514
48	0,00568
49	0,00627
50	0,00691
51	0,00761
52	0,00835
53	0,00916
54	0,01003
55	0,01099
56	0,01204
57	0,01321
58	0,01449
59	0,01589
60	0,01738
61	0,01896
62	0,02064
63	0,02245
64	0,02438
65	0,02644
66	0,02863
67	0,03090
68	0,03322
69	0,03562
70	0,03814
71	0,04079
72	0,04366
73	0,04683
74	0,05031
75	0,05417
76	0,05845
77	0,06320
78	0,06848
79	0,07439
80	0,08098
81	0,08833
82	0,09652
83	0,10560
84	0,11551
85	0,12622
86	0,13764
87	0,14963
88	0,16202
89	0,17479
90	0,18792
91	0,20140
92	0,21526
93	0,22953
94	0,24415
95	0,25907
96	0,27420
97	0,28949
98	0,30484
99	0,32019
100	0,33546
